DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
02-Jan-26,"1,635.90","1,643.50","1,627.50","1,640.40",2524526
01-Jan-26,"1,615.40","1,639.60","1,614.10","1,629.80",3658165
31-Dec-25,"1,621.00","1,628.60","1,609.20","1,615.40",6538656
30-Dec-25,"1,647.00","1,647.90","1,616.80","1,621.60",9395937
29-Dec-25,"1,658.00","1,673.10","1,637.10","1,644.70",4062817
26-Dec-25,"1,663.40","1,668.80","1,651.70","1,656.10",2006491
24-Dec-25,"1,661.00","1,667.60","1,652.50","1,663.40",4271167
23-Dec-25,"1,679.00","1,679.00","1,656.40","1,668.30",6593060
22-Dec-25,"1,664.00","1,693.20","1,664.00","1,689.60",23098923
19-Dec-25,"1,650.00","1,654.90","1,629.80","1,638.70",13149023
18-Dec-25,"1,610.50","1,630.00","1,606.70","1,626.80",6577293
17-Dec-25,"1,587.20","1,606.90","1,586.00","1,602.00",4817628
16-Dec-25,"1,600.00","1,603.00","1,585.60","1,592.90",5499258
15-Dec-25,"1,585.00","1,610.80","1,585.00","1,606.80",4190558
12-Dec-25,"1,601.40","1,601.80","1,582.60","1,598.20",4633912
11-Dec-25,"1,598.00","1,607.40","1,580.50","1,598.00",5159319
10-Dec-25,"1,608.00","1,608.00","1,582.80","1,584.80",5116140
09-Dec-25,"1,601.20","1,606.90","1,582.40","1,599.00",6957599
08-Dec-25,"1,617.10","1,630.00","1,600.20","1,610.80",7550413
05-Dec-25,"1,610.00","1,631.80","1,600.00","1,616.20",10344725
04-Dec-25,"1,568.00","1,599.00","1,568.00","1,597.60",12609619
03-Dec-25,"1,555.10","1,586.00","1,554.10","1,578.70",12895312
02-Dec-25,"1,567.00","1,579.90","1,556.10","1,561.00",6335969
01-Dec-25,"1,562.50","1,574.00","1,556.00","1,564.00",5341800
28-Nov-25,"1,565.00","1,568.40","1,557.00","1,560.10",4453221
27-Nov-25,"1,564.00","1,574.30","1,552.20","1,566.40",7552252
26-Nov-25,"1,532.10","1,560.30","1,532.10","1,557.90",7575038
25-Nov-25,"1,549.00","1,550.60","1,525.90","1,530.60",8107952
24-Nov-25,"1,563.60","1,585.00","1,541.00","1,548.00",19270381
21-Nov-25,"1,531.00","1,551.50","1,526.30","1,545.00",9186302
20-Nov-25,"1,555.00","1,555.00","1,534.00","1,536.50",7387584
19-Nov-25,"1,490.50","1,543.00","1,490.50","1,541.10",10981126
18-Nov-25,"1,506.00","1,506.00","1,483.20","1,486.40",7525119
17-Nov-25,"1,496.00","1,510.20","1,492.50","1,507.60",7910354
14-Nov-25,"1,520.00","1,530.00","1,488.80","1,502.80",9739549
13-Nov-25,"1,557.10","1,557.50","1,530.30","1,541.80",19655689
12-Nov-25,"1,540.00","1,559.20","1,538.10","1,551.70",14635417
11-Nov-25,"1,525.00","1,533.40","1,511.10","1,530.30",13692989
10-Nov-25,"1,490.10","1,520.00","1,490.00","1,513.50",9787975
07-Nov-25,"1,470.00","1,480.90","1,449.10","1,476.80",8765759
06-Nov-25,"1,478.60","1,483.00","1,461.90","1,466.70",7944752
04-Nov-25,"1,479.70","1,481.90","1,462.90","1,467.90",8691330
03-Nov-25,"1,482.30","1,491.40","1,474.20","1,485.50",5470600
31-Oct-25,"1,490.00","1,497.10","1,480.70","1,482.30",4819814
30-Oct-25,"1,507.00","1,508.20","1,489.10","1,493.80",5608867
