DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
19-Feb-26,"1,443.00","1,443.00","1,400.00","1,409.50",11884664
18-Feb-26,"1,427.00","1,442.10","1,419.20","1,441.30",5521096
17-Feb-26,"1,431.10","1,431.80","1,418.60","1,423.00",10731630
16-Feb-26,"1,420.10","1,439.60","1,409.30","1,437.10",5896514
13-Feb-26,"1,445.50","1,450.70","1,416.30","1,419.60",10755693
12-Feb-26,"1,470.00","1,473.00","1,445.50","1,448.90",11135399
11-Feb-26,"1,459.60","1,470.00","1,453.60","1,468.70",7106877
10-Feb-26,"1,471.00","1,471.00","1,452.20","1,458.50",10259630
09-Feb-26,"1,458.00","1,465.90","1,453.00","1,461.60",5775864
06-Feb-26,"1,441.50","1,452.80","1,433.50","1,450.80",8277304
05-Feb-26,"1,457.00","1,461.50","1,439.50","1,443.40",11763658
04-Feb-26,"1,444.00","1,464.00","1,440.30","1,456.80",8333387
03-Feb-26,"1,473.90","1,489.50","1,430.20","1,437.10",25456171
02-Feb-26,"1,340.00","1,392.90","1,335.50","1,390.40",15711165
01-Feb-26,"1,396.00","1,411.00","1,335.00","1,347.00",9714528
30-Jan-26,"1,382.60","1,398.00","1,378.50","1,395.40",11239835
29-Jan-26,"1,402.90","1,402.90","1,384.00","1,391.00",20846683
28-Jan-26,"1,385.00","1,409.90","1,384.90","1,396.70",11121657
27-Jan-26,"1,380.00","1,391.60","1,368.00","1,380.50",26302396
23-Jan-26,"1,401.80","1,407.00","1,381.00","1,386.10",9837802
22-Jan-26,"1,410.10","1,419.50","1,395.00","1,402.50",15721693
21-Jan-26,"1,389.50","1,412.90","1,373.00","1,404.60",17352720
20-Jan-26,"1,410.70","1,416.00","1,390.00","1,394.00",13189498
19-Jan-26,"1,450.60","1,450.60","1,403.30","1,413.60",20392765
16-Jan-26,"1,458.80","1,480.00","1,455.10","1,457.90",17167161
14-Jan-26,"1,444.00","1,467.00","1,440.20","1,458.80",8321764
