DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
11-Dec-25,990,"1,002.70",988.5,"1,000.30",11844809
10-Dec-25,997.5,998.5,985.3,989.8,15322830
09-Dec-25,994.9,"1,002.80",994,997.1,15294322
08-Dec-25,"1,000.00","1,006.50",997.5,"1,003.10",12901022
05-Dec-25,992,"1,008.00",990.2,"1,003.30",12843366
04-Dec-25,"1,000.00","1,004.70",993,997.2,14528169
03-Dec-25,986,"1,002.30",986,"1,000.50",15448777
02-Dec-25,988,994.4,985,989.8,27316662
01-Dec-25,"1,017.50","1,017.50",999.3,"1,002.10",16746566
28-Nov-25,"1,007.00","1,012.05","1,004.20","1,007.60",15988807
27-Nov-25,"1,002.10","1,016.80","1,001.00","1,009.50",25536848
26-Nov-25,981.3,"1,006.95",981.3,"1,003.90",19494356
25-Nov-25,"1,004.00","1,006.10",988.4,989.8,24989383
24-Nov-25,"1,000.00","1,011.45",993.6,999.15,32204053
21-Nov-25,"1,003.10","1,008.30",996.55,998.05,17499897
20-Nov-25,995.3,"1,011.60",992.45,"1,008.85",19850865
19-Nov-25,990,996.55,984,994.6,19813847
18-Nov-25,997.65,999,990,992.45,20002640
17-Nov-25,991.25,997.95,985.6,996.55,18396408
14-Nov-25,976.05,991.65,976.05,989.6,21386965
13-Nov-25,984,990.1,982.6,986.65,14124839
12-Nov-25,998.8,999,987.7,989.5,13137263
11-Nov-25,983.5,993.5,978,991.7,10200530
10-Nov-25,982.3,990.95,980.2,984.5,15988262
07-Nov-25,980,984.9,974.75,982.3,15004568
06-Nov-25,981,991.05,974,984.65,22279516
04-Nov-25,987,997,983.7,985.25,20024544
03-Nov-25,985,994.55,983.3,992.65,16607180
31-Oct-25,994,"1,004.45",981.15,987.3,23221330
30-Oct-25,"1,000.00","1,009.50",997.1,998.15,19962917
29-Oct-25,"1,004.90","1,012.50","1,000.00","1,007.85",17769445
28-Oct-25,997.65,"1,008.00",995,"1,003.55",33904289
27-Oct-25,996.5,"1,009.05",996.2,"1,002.95",15700796
24-Oct-25,"1,011.00","1,011.95",991.3,994.75,17707768
23-Oct-25,"1,016.00","1,020.50","1,006.00","1,008.80",43526526
21-Oct-25,"1,006.00","1,010.00","1,004.00","1,007.70",3471600
20-Oct-25,997,"1,020.00",997,"1,002.95",22195202
17-Oct-25,993.95,"1,009.00",986,"1,002.55",25210511
16-Oct-25,982.65,996.6,981.5,994.35,22936566
15-Oct-25,975,984.9,973.35,978.25,23310447
14-Oct-25,970,980.45,967,977.15,22934382
13-Oct-25,974.3,981,972,977,18634254
10-Oct-25,979,986.2,978.1,980.9,13757080
09-Oct-25,974.5,979,970.15,977.1,15370950
08-Oct-25,976,985.9,974.55,978.7,15939710
07-Oct-25,974,989.85,971,982.5,25535736
06-Oct-25,971.9,977.4,962,973.45,18542683
03-Oct-25,952,966.75,952,965.15,26658296
01-Oct-25,952.7,969.6,946,965.25,25350832
30-Sep-25,958.05,960,946.3,951,28296687
29-Sep-25,946.05,956.8,939.1,950.3,32398179
26-Sep-25,945.1,951.45,941.3,945.05,14874656
25-Sep-25,952.5,958,947.4,949.85,31413279
24-Sep-25,952.2,956.45,943,951.05,15117220
23-Sep-25,967,968.2,955.5,957.2,21022298
22-Sep-25,964,971.2,961.95,964.2,10854415
19-Sep-25,974.9,976.7,962.1,966.9,31243267
18-Sep-25,973.3,979.65,969.25,976.9,17791598
17-Sep-25,965.15,974.4,964.35,966.5,17361476
16-Sep-25,961.2,969.35,961.2,966.85,18661794
15-Sep-25,969.6,972.35,965,967.05,14486377
12-Sep-25,969.9,970.75,962.25,967.3,14363519
11-Sep-25,960.3,969.25,959.9,967.8,15113633
10-Sep-25,973.9,973.9,961.7,965.9,18091100
09-Sep-25,974,974.4,962.7,965.15,13985539
08-Sep-25,969,973.15,960.45,966,11711307
05-Sep-25,967.5,967.5,954.05,963.4,11602111
04-Sep-25,960.2,965.7,956.25,961.25,17597657
03-Sep-25,945,956.3,940,954.45,16083481
02-Sep-25,951,954.8,944,944.5,14196320
01-Sep-25,949.6,957.45,946.35,950.6,20178344
29-Aug-25,954,963.3,950.1,951.6,14823813
28-Aug-25,967,972.2,955,957.8,25438255
26-Aug-25,979.5,985.7,968,973.4,16917731
25-Aug-25,"1,960.20","1,977.40","1,957.00","1,964.10",8759022
22-Aug-25,"1,989.90","1,996.00","1,957.10","1,964.60",9916751
21-Aug-25,"1,997.50","1,997.50","1,983.20","1,991.20",6219925
20-Aug-25,"1,987.00","1,992.00","1,979.00","1,988.20",4975114
19-Aug-25,"1,998.30","2,006.10","1,986.70","1,991.10",6176219
18-Aug-25,"2,010.00","2,026.60","1,995.60","2,003.60",9642398
14-Aug-25,"1,978.00","1,996.00","1,971.20","1,991.10",8755858
13-Aug-25,"1,994.00","1,994.00","1,969.10","1,980.30",6788698
12-Aug-25,"1,991.90","1,996.00","1,967.50","1,969.90",6468901
11-Aug-25,"1,975.90","1,997.60","1,973.10","1,995.60",4552927
08-Aug-25,"1,987.10","1,992.80","1,970.00","1,973.90",6947632
07-Aug-25,"1,980.10","2,001.60","1,976.80","1,995.40",6540593
06-Aug-25,"1,971.10","1,988.00","1,970.00","1,985.30",7040102
05-Aug-25,"1,986.50","1,994.40","1,965.50","1,977.60",11989029
04-Aug-25,"2,010.10","2,018.50","1,988.10","1,992.00",6966973
01-Aug-25,"2,014.00","2,028.30","2,009.30","2,012.20",5658629
31-Jul-25,"2,014.60","2,031.40","2,008.00","2,018.20",11091516
30-Jul-25,"2,028.00","2,032.60","2,017.00","2,025.80",7577018
29-Jul-25,"1,999.90","2,026.50","1,996.30","2,021.60",9947848
28-Jul-25,"2,003.00","2,021.40","2,000.50","2,008.50",6029790
25-Jul-25,"2,015.00","2,015.00","1,999.00","2,004.60",4653299
24-Jul-25,"2,037.70","2,037.70","2,008.40","2,014.20",9553588
23-Jul-25,"2,011.00","2,029.80","2,003.00","2,024.30",6817458
22-Jul-25,"2,013.10","2,018.00","2,003.00","2,007.10",7418407
21-Jul-25,"1,978.20","2,002.00","1,976.50","2,000.50",11154539
18-Jul-25,"1,986.90","1,997.00","1,953.00","1,957.40",8064723
17-Jul-25,"2,004.00","2,004.80","1,982.70","1,986.90",11264579
16-Jul-25,"2,018.00","2,022.70","1,992.60","1,996.30",8997306
15-Jul-25,"1,973.00","2,003.60","1,973.00","1,995.50",7249084
14-Jul-25,"1,983.00","1,988.70","1,970.60","1,983.00",6544425
11-Jul-25,"1,998.00","2,004.80","1,980.90","1,983.70",6258461
10-Jul-25,"2,016.00","2,017.00","2,000.00","2,006.20",8515155
09-Jul-25,"2,007.00","2,013.80","1,998.10","2,011.20",6930714
08-Jul-25,"1,977.00","2,005.00","1,977.00","2,001.40",7612158
07-Jul-25,"1,989.00","1,998.40","1,983.80","1,987.40",5674713
04-Jul-25,"1,987.10","2,003.50","1,980.00","1,989.30",3931972
03-Jul-25,"1,994.90","2,008.00","1,984.30","1,987.10",8430253
02-Jul-25,"2,019.90","2,019.90","1,977.90","1,986.00",9439125
01-Jul-25,"2,005.00","2,016.00","2,004.00","2,012.10",7194693
30-Jun-25,"2,011.50","2,013.80","1,995.50","2,001.50",6824510
27-Jun-25,"2,013.00","2,019.80","1,993.40","2,014.90",14106692
26-Jun-25,"1,981.40","2,027.10","1,980.00","2,021.80",25042415
25-Jun-25,"1,966.00","1,982.00","1,963.90","1,980.20",9202966
24-Jun-25,"1,965.00","1,979.00","1,955.60","1,960.90",11312661
23-Jun-25,"1,948.40","1,957.90","1,941.80","1,948.40",5869759
20-Jun-25,"1,931.60","1,969.90","1,931.60","1,964.70",16450204
